Date,Open,High,Low,Close,Adj Close,Volume
2010-12-20,125.839996,125.839996,123.650002,125.349998,125.349998,0
2010-12-27,123.860001,123.860001,120.739998,120.739998,120.739998,0
2011-01-03,122.680000,122.680000,121.010002,121.220001,121.220001,0
2011-01-10,121.470001,123.519997,121.290001,123.519997,123.519997,0
2011-01-17,128.160004,133.990005,123.410004,133.990005,133.990005,0
2011-01-24,131.860001,134.610001,128.229996,128.229996,128.229996,0
2011-01-31,130.300003,130.300003,127.129997,127.449997,127.449997,0
2011-02-07,127.629997,131.309998,127.629997,131.309998,131.309998,0
2011-02-14,127.410004,136.429993,127.410004,136.429993,136.429993,0
2011-02-21,125.900002,128.759995,124.529999,128.759995,128.759995,0
2011-02-28,129.369995,129.369995,122.430000,125.900002,125.900002,0
2011-03-07,122.949997,123.370003,118.540001,118.540001,118.540001,0
2011-03-14,121.519997,126.809998,121.519997,126.809998,126.809998,0
2011-03-21,124.589996,124.589996,119.970001,121.430000,121.430000,0
2011-03-28,122.680000,128.639999,122.680000,128.639999,128.639999,0
2011-04-04,128.050003,128.059998,125.180000,125.919998,125.919998,0
2011-04-11,122.940002,130.449997,121.940002,130.449997,130.449997,0
2011-04-18,129.369995,131.779999,129.369995,131.779999,131.779999,0
2011-04-25,130.880005,130.880005,124.989998,127.449997,127.449997,0
2011-05-02,124.150002,127.489998,124.150002,124.610001,124.610001,0
2011-05-09,124.669998,126.230003,121.900002,121.900002,121.900002,0
2011-05-16,123.580002,129.149994,121.139999,129.149994,129.149994,0
2011-05-23,124.779999,125.430000,123.129997,125.430000,125.430000,0
2011-05-30,123.910004,123.910004,116.800003,116.800003,116.800003,0
2011-06-06,116.019997,122.650002,116.019997,122.650002,122.650002,0
2011-06-13,120.989998,125.300003,120.989998,122.349998,122.349998,0
2011-06-20,117.440002,117.440002,114.739998,115.919998,115.919998,0
2011-06-27,119.459999,128.729996,119.459999,119.629997,119.629997,0
2011-07-04,121.779999,121.860001,119.680000,119.680000,119.680000,0
2011-07-11,123.080002,129.240005,119.209999,129.240005,129.240005,0
2011-07-18,123.919998,126.120003,121.589996,121.589996,121.589996,0
2011-07-25,119.449997,120.650002,119.440002,120.650002,120.650002,0
2011-08-01,118.639999,119.360001,113.169998,119.360001,119.360001,0
2011-08-08,121.059998,124.510002,118.650002,119.790001,119.790001,0
2011-08-15,121.760002,126.160004,121.760002,124.050003,124.050003,0
2011-08-22,119.400002,124.050003,119.400002,122.970001,122.970001,0
2011-08-29,122.970001,122.970001,119.330002,119.330002,119.330002,0
2011-09-05,121.040001,121.040001,116.900002,116.900002,116.900002,0
2011-09-12,117.230003,123.269997,115.730003,123.269997,123.269997,0
2011-09-19,120.760002,120.760002,118.239998,118.239998,118.239998,0
2011-09-26,120.339996,120.339996,114.830002,114.830002,114.830002,0
2011-10-03,113.089996,116.099998,113.089996,116.099998,116.099998,0
2011-10-10,116.809998,121.980003,116.809998,121.900002,121.900002,0
2011-10-17,124.459999,127.989998,122.570000,127.190002,127.190002,0
2011-10-24,124.849998,124.849998,121.180000,121.180000,121.180000,0
2011-10-31,120.690002,126.650002,120.690002,123.559998,123.559998,0
2011-11-07,124.930000,125.239998,122.870003,124.559998,124.559998,0
2011-11-14,124.559998,124.970001,120.040001,120.040001,120.040001,0
2011-11-21,115.150002,116.779999,114.769997,114.769997,114.769997,0
2011-11-28,118.629997,118.629997,116.309998,116.309998,116.309998,0
2011-12-05,116.139999,116.830002,115.160004,116.830002,116.830002,0
2011-12-12,120.260002,122.349998,119.220001,119.220001,119.220001,0
2011-12-19,116.580002,120.660004,115.160004,117.139999,117.139999,0
2011-12-26,116.529999,116.570000,116.209999,116.209999,116.209999,0
2012-01-02,117.099998,118.290001,117.099998,118.290001,118.290001,0
2012-01-09,119.070000,121.919998,118.989998,121.919998,121.919998,0
2012-01-16,125.629997,130.779999,125.629997,129.240005,129.240005,0
2012-01-23,125.830002,127.379997,121.500000,121.500000,121.500000,0
2012-01-30,121.989998,122.260002,121.389999,122.139999,122.139999,0
2012-02-06,123.629997,129.589996,123.019997,129.589996,129.589996,0
2012-02-13,127.889999,130.289993,127.889999,129.539993,129.539993,0
2012-02-20,128.460007,128.720001,127.699997,128.720001,128.720001,0
2012-02-27,126.980003,127.629997,124.589996,125.199997,125.199997,0
2012-03-05,126.230003,126.489998,124.779999,124.779999,124.779999,0
2012-03-12,139.250000,139.250000,118.820000,138.429993,138.429993,0
2012-03-19,128.850006,128.850006,121.169998,122.980003,122.980003,0
2012-03-26,118.019997,124.970001,118.019997,124.970001,124.970001,0
2012-04-02,123.129997,123.839996,120.610001,120.610001,120.610001,0
2012-04-09,119.050003,119.870003,118.190002,118.190002,118.190002,0
2012-04-16,116.669998,121.830002,116.669998,118.050003,118.050003,0
2012-04-23,117.190002,122.529999,117.190002,120.080002,120.080002,0
2012-04-30,119.830002,120.180000,115.830002,115.830002,115.830002,0
2012-05-07,116.680000,117.230003,114.699997,114.699997,114.699997,0
2012-05-14,119.180000,120.040001,118.470001,119.279999,119.279999,0
2012-05-21,119.559998,120.639999,119.309998,120.379997,120.379997,0
2012-05-28,122.389999,122.389999,116.349998,116.349998,116.349998,0
2012-06-04,116.660004,122.089996,116.660004,122.089996,122.089996,0
2012-06-11,119.279999,126.080002,115.050003,126.080002,126.080002,0
